PID,Text,Archive
P107899,[...] kaš saga šar₃ 2(diš) kaš du kas₄ lu₂ hu-li₂-bar ki a₂-nin-ga₂-ta kišib₃ {d}šara₂-he₂-gal₂ u₄ 2(u) 9(diš)-kam iti šu-eš-ša mu en eridu,domesticated animal
P107962,4(aš) še gur lugal ku₃?-bi? 1/2(diš)-ta ur-šu-ga-[lam]-ma šu ba-ti kišib₃ a₂-bi₂-lum-ma iti ezem-{d}šu-{d}suen? mu ma₂-gur₈-mah ba-dim₂ a₂-bi₂-lum dumu [...] [...],domesticated animal
P108669,2(geš₂) 4(u) la₂ 1(diš) mu-kuₓ(DU) iti ezem-me-ki-gal₂ 4(geš₂) 5(u) 5(diš) iti še-sag₁₁-ku₅ mu ha-ar-ši{ki} ba-hul 1(geš₂) 2(diš) iti ezem-an-na 2(u) iti ezem-me-ki-gal₂ 1(u) 8(diš) iti še-sag₁₁-ku₅ mu {d}amar-{d}suen lugal-e ur-bi₂-lum{ki} mu-hul 1(geš₂) 3(u) 2(diš) iti maš-da₃-gu₇  1(u) 6(diš) iti ses-da-gu₇  2(u) 6(diš) iti u₅-bi₂-gu₇  2(u) 2(diš) iti ki-siki-{d}nin-a-zu  1(u) 6(diš) iti ezem-{d}nin-a-zu  3(u) 1(diš) iti a₂-ki-ti  2(geš₂) 5(u) 3(diš) iti ezem-{d}šul-gi  1(geš₂) 2(u) iti šu-eš₅-ša  mu {d}gu-za {d}en-lil₂-la₂ ba-dim₂  1(gešʾu) 6(geš₂) 5(u) ša₃-bi-ta 2(geš₂) 5(u) zi-ga iti ezem-me-ki-gal₂ 2(geš₂) 3(u) 5(diš) iti še-sag₁₁-ku₅ mu ha-ar-ši{ki} ba-hul 1(geš₂) 2(u) 7(diš) iti ezem-an-na 1(geš₂) 6(diš) iti ezem-me-ki-gal₂ 4(u) 5(diš) iti še-sag₁₁-ku₅ mu {d}amar-{d}suen lugal ur-bi₂-lum{ki} mu-hul  2(u) 5(diš) iti maš-da₃-gu₇  1(geš₂) 4(u) la₂ 1(diš) iti ses-da-gu₇  3(u) 3(diš) iti u₅-bi₂-gu₇  3(u) iti ki-siki-{d}nin-a-zu  3(u) iti ezem-{d}nin-a-zu  3(u) 5(diš) iti a₂-ki-ti  2(geš₂) 5(u) 8(diš) iti ezem-{d}šul-gi  3(u) iti šu-eš-ša  mu {d}gu-za ba-dim₂  1(gešʾu) 6(geš₂) 2(u) 3(diš)  la₂-ia₃ 2(u) 7(diš),domesticated animal
P113146,2(u) sa gi 1(aš) gu₂ {geš}ma-nu i-šu-a-nu-um# 3(u) sa gi 1(aš) gu₂ {geš}ma-nu hu-un-ki-ib-ri lu₂ ul-li{ki} 3(u) sa gi 2(aš) gu₂ {geš}ma-nu am?-ti dumu ra-ši  4(u) sa gi  2(aš) gu₂ {geš}ma-nu nu-ur₂-i₃-li₂ lu₂ bad₃-eb?-la šu+nigin 2(geš₂) sa gi šu+nigin 6(aš) gu₂ {geš}ma-nu a₂ me-{d}nanna? sukkal giri₃ lu₂-gi-na u₃ dingir-ba-ni bala ensi₂ umma{ki} u₄ 1(u) 7(diš)-kam iti šu-eš-ša  mu en eridu{ki} ba-hun,domesticated animal
P113147,1(geš₂) 2(u) 3(aš) 1(barig) in-nu su₇? gur 2(u) 3(aš) in-nu gur mu šu-nir u₄-sakar 7(aš) gu₂ la₂-a-še₃ a-a x [x] x x [...] lugal-ku₃-zu šu ba-ti giri₃ en-igi-ni-ib₂-zu iti šu-eš₅-ša mu# en {d}nanna ga-eš₅{ki} ba-hun,domesticated animal
P113799,1(u) še ki a₂-ta e₂-a-šar šu ba-ti ša₃ bala-a iti ses-da-gu₇ mu en eridu{ki} ba-hun e₂-a-šar dub-sar dumu uš-a-ni,domesticated animal
P113859,2(geš₂) 1(u) 5(aš) 2(barig) še-geš-i₃ gur i₃-ba erin₂ a-ša₃ ku-da-bad₃-da-ka tuš-a ugula sag-{d}nanna-i₃-zu še-geš-i₃ kar₂-har{ki} ki gu-za-na-ta ba-zi mu {d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ e₂ {d}šara₂ umma{ki}-ka mu-du₃,domesticated animal
P113867,3(aš) še gur ki lu₂-{d}šul-gi-ta kišib₃ en-um-i₃-li₂ sa₂-du₁₁ lu₂# mušen#? ba [x] ŠE₃# bala ensi₂ adab{ki} iti ses-da-gu₇ mu en {d}inanna ba-hun en-nam-i₃-li₂ dub-sar dumu ur-gu,domesticated animal
P113918,5(bur₃) 1(eše₃) 3(iku) [GAN₂] še-bi 4(u) 8(aš) 2(barig) gur la₂-ia₃ 1(geš₂) 1(aš) 3(barig) še gur a-ša₃ dal-ba-na 2(bur₃) 1(eše₃) 3(iku) GAN₂ še-bi 5(u) 6(aš) gur diri 6(aš) gur a-ša₃ igi e₂-amar 3(bur₃) 1(eše₃) 3(iku) GAN₂  še-bi 1(geš₂) 8(aš) 1(barig) 2(ban₂) gur  la₂-ia₃ 1(aš) 3(barig) 4(ban₂) gur  a-ša₃ e₂-duru₅-ba-zi 1(eše₃) 3(iku) GAN₂ še-bi 1(u) 4(aš) 1(barig) 2(ban₂) gur diri 4(aš) 1(barig) 2(ban₂) gur a-ša₃ ab-il₂-la šu+nigin 1(burʾu) 2(bur₃) GAN₂ šu+nigin še-bi 3(geš₂) 6(aš) 4(barig) 4(ban₂) gur mu-kuₓ(DU) šu+nigin 5(u) 3(aš) 2(ban₂) gur la₂-ia₃-am₃  ugula šu-e₂-a  mu [...],domesticated animal
P115415,1(diš) lulim-nita₂ [ki] ab-ba-sa₆-ga-ta lu₂-dingir-ra i₃-dab₅ u₄ 2(u) 4(diš)-kam [iti] ezem-mah mu {d}amar-{d}suen lugal 1(diš),domesticated animal
P115536,3(u) 7(diš) unu₃ libir#? 2(diš) sila₃ i₃-nun-ta 2(diš) sila₃ ga-ar₃-ta šu+nigin 1(barig) 1(ban₂) 4(diš) sila₃ i₃-nun šu+nigin 1(barig) 1(ban₂) 4(diš) sila₃ ga-ar₃ maš₂-da-re-a unu₃-e-ne e₂-kišib₃-ba-še₃ ba-an-kuₓ(KWU147) iti maš-da₃-gu₇-ta iti diri še-sag₁₁-ku₅-še₃ iti 1(u) 3(diš)-kam mu si-mu-ru-um u₃ lu-lu-bu{ki} a-ra₂ 1(u) la₂ 1(diš)-kam-aš ba-hul,domesticated animal
P115588,i₃-dab₅ iti še-sag₁₁-ku₅ mu us₂-sa si-ma-num₂{ki} ba-hul lugal-me-lam₂ dub-sar dumu lu₂-{d}[...],domesticated animal
P115901,1(diš) tug₂ x 2(diš) tug₂ x tur mu-kuₓ(DU) šar-ru-um-i₃-li₂ šu ba-[an?]-ti giri₃ na-we-er-dingir iti a₂-ki-ti mu {d}amar-{d}suen lugal-e ur-bi₂-lum{ki} mu-hul 3(diš),unknown
P116237,pisan-dub-ba nig₂-ka₉-ak sipa unu₃-e-ne iti maš₂-da₃-gu₇-ta iti diri še-sag₁₁-ku₅-še₃ iti 1(u) 3(diš)-kam ša₃-ba iti diri 1(diš)-am₃ i₃-[gal₂] mu {d}šu-[{d}suen lugal] i₃-gal₂,domesticated animal
P117337,[...] 2(u) 5(diš) [...] e₂-ba-[an] ki sipa?-[...] a-[...] šu ba-[ti] giri₃ an-ne₂-[...] ša₃ uri₅{ki}-ma iti a₂-ki-ti mu {d}i-bi₂-{d}suen lugal uri₅{ki}-[ma]-ke₄ si-mu-ru-um[{ki} mu]-hul,precious object
P117495,7(diš) {uruda}gur₁₀ ki lu₂-he₂-gal₂-ta 4(diš) ki šeš-kal-la gu-za-la₂-ta 2(diš) ki šeš-kal-la dumu na-silim-ta [mu]-kuₓ(DU)# [iti ezem?-{d?}me-ki]-gal₂,domesticated animal
P118452,3(diš) tug₂ guz-za 3(diš)-kam <us₂> šu-{d}suen lu₂ kin-[gi₄]-a mu amar-{d}suen-na-bi₂-du₁₁-ga-še₃ šu ba-ti iti diri še-sag₁₁-ku₅ 1(diš) tug₂ uš-bar tur# ki#-mah lu₂-e₂-an-ka,wool
P118614,[1(diš) ...] [...] x [...] x [...]-gi# ki [...]-nin#-x-ta {d}šul-gi-iri#-mu# šu ba-ti iti u₅-bi₂-gu₇ mu en-unu₆-gal {d}inanna unu{ki} ba-hun 1(diš),dead animal
P122205,3(geš₂) 1(u) 1(diš) tug₂ guz-za du 4(diš) tug₂ sag uš-bar tug₂ ki i-di₃-er₃-ra-ka gal₂-la iti ezem-me-ki-gal₂ mu us₂-sa bad₃ ma-da ba-du₃,wool
P122537,1(geš₂) še gur lugal še-ba giri₃-se₃-ga didli ki# a-da-lal₃ šabra uš-šu-mu-um šu ba-ti giri₃ ši-ha-lum iti ki-siki-{d}nin-a-zu mu ma₂-dara₃-abzu {d}en-ki ba-ab-du₈,domesticated animal
P122752,1(u) 5(diš) uz-tur ur-mes ensi₂ u₄ 2(u) la₂ 1(diš)-kam ša₃ tum-ma-al{ki} mu-kuₓ(DU) ba-a-zi i₃-dab₅ iti šu-eš₅-ša mu ma₂-dara₃-abzu {d}en-ki-ka ba-ab-du₈,domesticated animal
P122878,1(aš) še gur lugal sa₂-du₁₁-še₃ ki šu-u-ri₂-ta ne-sag-i₃-sa₆ šu ba-ti kišib₃ nin-inim#-gi-na ib₂-ra še bala ri-a iti maš-da₃-gu₇ mu en-nun-ne-{d}amar-{d}suen-ra-ki-ag₂ en eridu{ki} ba-hun,domesticated animal
P123332,1(ban₂) u₂-kur lugal še zi-bi₂-tum 1(ban₂) hu-ri₂-um ad-da-mu šu ba-ti iti ses-da-gu₇ mu us₂-sa ki-maš{ki} ba-hul,domesticated animal
P123340,2(diš) dusu₂-nita₂ mu-kuₓ(DU) lugal ki na-sa₆-ta šu-{d}idim i₃-dab₅ [...]-na#? iti a₂-ki-ti mu ha-ar-ši{ki} hu-ur₅-ti{ki} u₃ ki-maš{ki} ba-hul,domesticated animal
P123378,1(ban₂) i₃-geš ki lu₂-uru₁₁{ki}-ta 2(ban₂) i₃-geš ki i-mi-id-dingir-ta tug₂-ga ak-de₃ {d}šul-gi-i₃-[li₂] šu ba-ti mu ki-maš{ki} ba-hul,domesticated animal
P123809,mu-kuₓ(DU) nu-ub-tuku u₄ 1(u) 6(diš@t)-kam iti ezem-mah mu en-mah-gal-an-na en {d}nanna ba-hun,domesticated animal
P124269,pisan-dub-ba e₂-tum sag-nig₂-gur₁₁-ra u₃ zi-ga tah-ša-tal iti maš-da₃-gu₇-ta iti še-sag₁₁-ku₅-<še₃> iti 1(u) 2(diš@t)-kam mu hu-uh₂-nu-ri{ki} ba-hul i₃-gal₂#,unknown
P124375,9(geš₂) 5(u) 6(aš) še gur lugal a₂ ma₂ hun-ga₂-bi 1(aš) 4(barig) 3(ban₂) gur i₃-dub su₃-GAN₂-ta? še-ba geme₂ uš-bar ma-ni-ra zi-zi-dam ba-zi maškim mu us₂-sa ur-bi₂-lum{ki} ba-hul,domesticated animal
P124418,2(barig) zi₃-gu giri₃-uri₅{ki}-ma 2(barig) zi₃-gu 4(ban₂) zi₃ gazₓ(KUM) 1(ban₂) 5(diš) sila₃ nig₂-ar₃-ra saga zi₃ e₂-tum-še₃ maškim lu₂-{d}inanna 4(ban₂) še ša₃-gal uz-tur 2(diš) sila₃ eša 2(diš) sila₃ zi₃-sig₁₅ ur-{d}šul-pa-e₃-še₃ ki lugal-zi-mu-ta ba-zi iti ku₃-ŠIM mu ki-maš{ki} ba-hul,domesticated animal
P124922,1(diš) amar maš-da₃-nita₂ e₂-uz-ga ur-{d}ba-ba₆ muhaldim maškim ša₃ mu-kuₓ(DU)-ra-ta u₄ 1(u) 6(diš)-kam ki lugal-amar-ku₃-ta ba-zi iti ses-da-gu₇ mu en-nun-e-{d}amar-{d}suen-ra-ki-ag₂# [en] eridu{ki#} ba-hun 1(diš),wild animal
P125063,1(u) guruš u₄ 1(u) 1(diš)-še₃ ugula du-du kišib₃ ma-an-šum₂ dub-sar mu an-ša-an{ki} ba-hul,domesticated animal
P125492,mu-kuₓ(DU) [...] [u₄ ...] 1(diš)-kam [giri₃] {d}[nanna]-ma-ba dub-sar iti šu-eš₅-ša mu {d}šu-{d}suen lugal,domesticated animal
P125639,1(aš) 4(ban₂) še lugal še ur₅-ra maš ga₂-ga₂-dam ki ur-{d}ba-ba₆-ta ur-e₂-an-na šu ba-ti iti ezem-me-ki-gal₂ mu us₂-sa e₂ puzur₄-iš-{d}da-gan ba-du₃-a mu us₂-[sa-bi],precious object
P125792,2(u) še gur ki ur-{d}ba-ba₆-ta ugu₂ gu₃-de₂-a ba-a-gar kišib₃ {d}šul-gi-ku₃-zu mu hu-uh₂-nu-ri{ki} ba-hul {d}šul-gi-ku₃-zu dub-sar dumu {d}šara₂-[kam] dub-sar,domesticated animal
P125853,2(u) 4(aš) 2(barig) zu₂-lum gur 2(u) hašhur had₂ ki {d}šara₂-kam-ta mu-kuₓ(DU) lu₂-giri₁₇-zal šu ba-ti giri₃ i-din-{d}suen iti ezem-me-ki-gal₂ mu en {d}nanna ba-hun,domesticated animal
P125935,2(aš) 3(barig) 1(ban₂) še gur lugal e₂-kišib₃-ba e₂ {d}en-ki-ka-ta ša₃-gal amar-še₃ i-di₃-er₃-ra šu ba-ti iti ezem-an-na mu us₂-sa bad₃ ma-da ba-du₈ 2(geš₂) 3(u) 1(diš) [...] ša₃-gal [amar-še₃] x [...] kišib₃ i-di₃-er₃-ra iti ezem-an-na mu us₂-[sa bad₃ ma-da ba-du₈],domesticated animal
P126287,1(aš) še gur lu₂-{d}inanna engar 1(barig) a#-ba#-šeš#?-mu#!-gin₇ [...] ŠUL  šu# ba#-an-ti  ša₃ du₆-sa-bar-ra{ki}  iti ezem-an-na  mu us₂-sa {d}šu-{d}suen lugal-e bad₃ mar-tu mu-du₃ lu₂-{d}inanna dumu ur-{d}gilgamesₓ(|BIL₂.GA.MES|)?,domesticated animal
P126300,[...]  [...]-ta  [...]-x-ti šu ba-ti iti ki-siki-{d}nin-a-zu mu hu-uh₂-nu-ri{ki} ba-hul,unknown
P126324,1/2(diš) ka₅-a-mu 1/2(diš) lu₂-sa₆-ga iti a₂-ki-ti-ta iti še-sag₁₁-ku₅-še₃ a₂-bi 3(geš₂) 3(u)-kam tu-ra u₄ 1(diš)-še₃ iti 7(diš)-kam ki šu-{d}iškur-ta ba-zi mu ki-maš{ki} ba-hul,domesticated animal
P126391,4(gešʾu) 6(geš₂) 1(u) 2(diš) sa gi-zi 1(u) 2(diš)-ta gu-nigin₂-bi 3(geš₂) 5(u) 1(diš)-am₃ mu-kuₓ(DU) e₂-udu-še₃ u₄ 3(u)-kam a₂ erin₂ pa₅-hal-li₂{ki} ki lu₂-sukkal-an-ka-ta {d}šul-gi-si-sa₂ šu ba-ti kišib₃ lu₂-{d}ig-alim iti u₅-bi₂{mušen}-gu₇ mu {d}i-bi₂-{d}suen lugal {d}šu-{d}suen lugal kal-ga lugal uri₅{ki}-ma lugal an ub-da limmu₂-ba lu₂-{d}ig-alim dub-sar dumu ur-ki-gu-la ARAD₂-zu,domesticated animal
P126448,3(diš) i₃-geš siskur₂ dingir-ra u₃ aga₃-us₂ šušin{ki}-še₃ gen-na-me giri₃ {d}šul-gi-dan 1(diš) sila₃ i₃-geš di₄-di₄-la ug₃-IL₂ ku₄?-ra-ne a-gu-a šitim šu ba-ti zi-ga geme₂-{d}nin-lil₂-la₂-ka ki šeš-kal-la-ta iti ezem-me-ki-gal₂ mu ki-maš{ki} u₃ hu-ur₅-ti{ki} ba-hul,unknown
P126491,1(diš) {anše}kunga₂-nita₂ gu₂ li-pi₂-i₃-sa kurušda ki na-ra-am-i₃-li₂-ta mu aga₃-us₂-e-ne-še₃ e₂-a-i₃-li₂ i₃-dab₅ zi-ga ki na-sa₆ iti ki-siki-{d}nin-a-zu mu si-mu-ru-um{ki} u₃ lu-lu-bu{ki} a-ra₂ 1(u) la₂ 1(diš)-kam-aš ba-hul,domesticated animal
P126512,[...] kaš du gur lugal [... ninda] du gur [...]-{d#}šul#-gi [...] 2(gešʾu)-am₃ ki lugal-še₃ 5(aš) kaš du gur 5(aš) ninda du gur ki nin-še₃ 2(aš) 2(barig) 3(ban₂) kaš du gur 7(aš) 2(barig) 3(ban₂) ninda du gur ki dumu ga-še₃ nig₂-buru₁₄-še₃ e₂-gal ba-ku₄? ki ur-{d}en-lil₂-la₂-ta iti a₂-ki-ti mu en eridu{ki} ba-hun,domesticated animal
P126587,3(diš) [x] ki giri₃-ni-ta ur-mes i₃-dab₅ iti ezem-mah min₃ mu ma₂-dara₄-abzu ba-ab-du₈ ur-mes dumu la-na kurušda,domesticated animal
P126665,4(aš) [gu₂ gi-...] ki ensi₂# umma{ki#}-ta# kišib₃ e-la-ak-šu-qir iti a₂-ki-ti mu si-[ma-num₂]{ki} [ba-hul] ṣe-lu-uš-{d}da-gan ensi₂ si-mu-[ru-um{ki}] i-la-ak-šu-qir dumu a-lu-a šabra ARAD₂-zu,domesticated animal
P126728,1(diš) {munus}aš₂-gar₃ šimašgi u₄ 1(u) 2(diš)-kam ki ab-ba-sa₆-ga-ta tu-ra-am-{d}da-gan i₃-dab₅ iti ezem-[...] mu ša-[aš-ru{ki} ba-hul],domesticated animal
P127307,6(diš) uz-tur 2(u) 6(diš) mušen tur du-uk-ra 2(diš) {udu-bu}adab{mušen} 1(diš) u₅?-pirig{mušen} 1(u) 5(diš) mušen tur ku-u₂ šagina 2(diš) kur-gi{mušen} ur-mu šagina  2(geš₂) 5(u) dal{mušen}-gi  hu-ba-a 5(diš) uz-tur wa-at-ra-[at] 1(diš) kur-gi[{mušen}] i₃-lal₃-[lum] 4(diš) uz-[tur] ba-la-a nu-[...] mu-kuₓ(DU) dingir-ba-ni šu ba-ti ša₃ tum-ma-al{ki}  iti šu-eš-ša u₄ 2(u) 6(diš)-kam  mu {geš}gu-za {d}en-lil₂-la₂ ba-dim₂,domesticated animal
P127387, wa-ta₂-ru#-um# ra₂-gaba  iti u₅-bi₂-gu₇  mu {d}amar-{d}suen lugal,domesticated animal
P127429,sa₂-du₁₁ {d}nin-lil₂-la₂ iti 1(diš)-kam ša₃ tum-ma-al ki en-dingir-mu-ta iti a₂-ki-ti mu {d}gu-za {d}en-lil₂-la₂ ba-dim₂,domesticated animal
P128028,1(diš) udu-nita₂ ki uš-mu-ta ur-ku₃-nun-na i₃-dab₅ giri₃ ur-nig₂ iti šah₂-ku₃-gu₇ mu {d}i-bi₂-{d}suen lugal {d}šu-{d}suen lugal kal-ga lugal uri₅{ki}-ma lugal an ub-da limmu₂-ba ur-ku₃-nun-na dub-sar dumu lu₂-{d}nin-gir₂-su kurušda ARAD₂-zu,domesticated animal
P129431,1(diš) dusu₂-nita₂ šu-gid₂ u₄ 1(u) 3(diš)-kam ki ab-ba-sa₆-ga-ta šu-er₃-ra i₃-dab₅ iti še-sag₁₁-ku₅ mu en-unu₆-gal {d}inanna ba-hun 1(diš),domesticated animal
P129753,1(diš) {kuš}e-sir₂ du₈-ši-a e₂-ba-an-ta lu₂-banda₃{da} 1(diš) lu₂-gu-la 1(diš) {kuš}e-sir₂ gun₃-a e₂-ba-an a-hu-šu-ni mu-kuₓ(DU) lu₂-lu₂ dun-a puzur₄-i₃-li₂-me šu-eš₁₈-dar u₃ nu-ur₂-i₃-li₂ šu ba-an-ti-eš₂ ša₃ puzur₄-iš-{d}da-gan iti še-sag₁₁-ku₅ mu {d}amar-{d}suen lugal,leather object
P131081,1(diš) udu-nita₂ mu ad#-da-kal-la-še₃ ki ur-tur-tur-ta ur-du₆-ma-al i₃-dab₅ mu us₂-sa si-ma-num₂{ki} ba-hul mu ša-lim-be-li₂ unu{ki}-še₃ ur-du₆-sag-al dub-sar! dumu ab-ga-ga,domesticated animal
P134012,3(diš)? sa gi mušen 4(u) ba-ra-še₆ 2(diš)? sa gi nig₂-bun₂-na ba-ra-še₆ 1(u)-am₃ giri₃ a-da-mu zi-ga iti ki-siki-{d}nin-a-zu mu {geš}gu-za {d}en-lil₂-la₂ ba-dim₂,domesticated animal
P134034,1(u) gin₂ gu gada lu₂-gu-la u₃ lu₂-banda₃{da} šu ba-ti-eš₂ iti ezem-{d}nin-a-zu mu ur-bi₂-lum{ki} ba-hul,precious object
